Letter_ID,Location_Name,Site_Name,Coordinates,
1884.12.05.b,Norwich,St Martin at Oak,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,Sts Simon and Jude,"52.6286060, 1.2922700",
1884.12.05.b,Norwich,St Peter Parmountergate,"52.6286060, 1.2922700",
1885.01.30.c,Reepham,,"52.7634606, 1.1115326",
1885.03.13.a,Ingham,,"52.7798853, 1.5416054",
1885.03.13.b,Stody,,"52.8747918, 1.0507694",
1885.03.13.c,North Barsham,,"52.8778119, 0.8409973",
1885.03.13.c,Elsing,,"52.7103929, 1.0389018",
1885.03.27.e,Edgefield,,"52.8639507, 1.1118468",
1885.03.27.f,Stody,,"52.8747918, 1.0507694",
1885.04.22.a,Necton,,"52.6513980, 0.7769950",
1885.07.16.a,Hellington,,"52.5778176, 1.4147450",
1885.07.24.b,Mulbarton,,"52.5641950, 1.2345347",
1886.09.08.b,Martham,,"52.7043189, 1.6367393",
1886.09.13.a,Martham,,"52.7043189, 1.6367393",
1886.09.30.b,Cley,,"52.9526378, 1.0426860",
1886.09.30.b,East Raynham,,"52.7938901, 0.8004065",
1886.10.12.b,Hindolveston,,"52.8228164, 1.0206042",
1886.10.12.b,Melton Constable,,"52.8553606, 1.0332153",
1886.10.12.b,Walsingham,,"52.9003084, 0.8867278",
1886.10.12.b,Great Snoring,,"52.8737707, 0.8924590",
1886.10.12.c,East Barsham,,"52.8683384, 0.8480827",
1886.10.12.c,West Barsham,,"52.8680444, 0.8273545",
1886.10.12.d,East Harling,,"52.4392521, 0.9326761",
1886.10.12.d,West Harling,,"52.4276400, 0.9042893",
1886.10.27.c,Wood Dalling,,"52.7996083, 1.0988598",
1886.11.05.b,Wood Dalling,,"52.7996083, 1.0988598",
1886.11.05.b,Great Ellingham,,"52.5366889, 0.9742263",
1886.11.05.c,Rougham,,"52.7507434, 0.7118298",
1886.11.05.c,Norwich,St Michael-at-Thorne,"52.6286060, 1.2922700",
1887.04.20.a,Swanton Morley,,"52.7080482, 0.9815830",
1887.04.20.b,Hoe,,"52.7126200, 0.9484610",
1887.04.20.b,Great Witchingham,,"52.7368080, 1.1144540",
1887.05.02.b,Attlebridge,,"52.7079487, 1.1507469",
1887.05.02.b,Morton-on-the-Hill,,"52.7088693, 1.1425701",
1887.05.02.c,Attlebridge,,"52.7079487, 1.1507469",
1887.05.02.c,Great Witchingham,,"52.7368080, 1.1144540",
1887.05.02.d,Swanton Morley,,"52.7080482, 0.9815830",
1887.05.23.b,Buxton,,"52.7547251, 1.3067651",
1887.05.23.b,Stratton Strawless,,"52.7375260, 1.2904123",
1887.05.23.b,Hevingham,,"52.7427159, 1.2518862",
1887.05.23.b,Marsham,,"52.7689799, 1.2527893",
1887.05.23.b,Brampton,,"52.7679641, 1.2935735",
1887.05.23.b,Burgh,,"52.7787941, 1.2881614",
1887.05.23.b,Oxnead,,"52.7683673, 1.3034272",
1887.05.28.b,Brampton,,"52.7679641, 1.2935735",
1887.05.28.b,Oxnead,,"52.7683673, 1.3034272",
1887.05.28.b,Burgh,,"52.7787941, 1.2881614",
1887.05.28.b,Burgh-next-Aylsham,,"52.7787941, 1.2881614",
1887.05.28.b,Burgh St Margaret,,"52.6693905, 1.6159025",
1887.06.17.a,Burgh St Margaret,,"52.6693905, 1.6159025",
1887.06.17.a,Stokesby,,"52.6389181, 1.5917907",
1887.06.17.a,Clippesby,,"52.6744566, 1.5926408",
1887.06.17.b,Repps,,"52.6977829, 1.5746994",
1887.06.17.b,East Caister,,"52.6508309, 1.7237700",
1887.06.17.b,Potter Heigham,,"52.7196336, 1.5747217",
1887.06.17.b,Horsey,,"52.7470952, 1.6418048",
1887.06.17.b,Waxham,,"52.7770463, 1.6171049",
1887.06.17.b,Sea Palling,,"52.7880583, 1.6017754",
1887.06.17.b,Ingham,,"52.7798853, 1.5416054",
1887.06.17.b,Stalham,,"52.7729300, 1.5147208",
1887.06.17.b,Catfield,,"52.7402821, 1.5354406",
1887.06.17.b,Hempstead,,"52.7976759, 1.5629554","Hamlet, not village"
1887.06.17.b,Lessingham,,"52.7989674, 1.5498194",
1887.06.17.b,East Runton,,"52.9354034, 1.2656849",
1887.06.17.b,Great Ormesby,,"52.6755898, 1.6893887",
1887.06.17.b,Little Ormesby,,"52.6755898, 1.6893887",
1887.06.17.b,Watlington,,"52.6733651, 0.3914655",
1887.06.23.a,Belaugh,,"52.7168760, 1.3880553",
1887.06.23.a,Frettenham,,"52.7085962, 1.3247301",
1887.06.23.a,Spixworth,,"52.6871966, 1.3231950",
1887.06.23.b,East Caister,,"52.6508309, 1.7237700",
1887.06.23.b,Stokesby,,"52.6389181, 1.5917907",
1887.06.23.b,Burgh St Margaret,,"52.6693905, 1.6159025",
1887.06.23.b,Clippesby,,"52.6744566, 1.5926408",
1887.07.28.b,Worstead,,"52.7826982, 1.4133514",
1887.07.28.b,North Walsham,,"52.8194246, 1.3874156",
1887.07.28.b,Stokesby,,"52.6389181, 1.5917907",
1887.07.28.b,Lessingham,,"52.7989674, 1.5498194",
1887.08.11.a,North Walsham,,"52.8194246, 1.3874156",
1887.08.11.a,Worstead,,"52.7826982, 1.4133514",
1887.08.11.a,Ludham,,"52.7106916, 1.5346951",
1888.01.17.c,Watton,,"52.5699185, 0.8253494",
1888.01.17.c,East Caister,,"52.6508309, 1.7237700",
1888.06.08.b,Felmingham,,"52.8140620, 1.3362096",
1888.06.08.c,Felbrigg,,"52.9105312, 1.2733296",
1888.06.08.c,Antingham,,"52.8509800, 1.3479335",
1888.06.25.a,Winterton,,"52.7154002, 1.6909471",
1888.06.25.a,Boughton,,"52.5900180, 0.5081021",
1888.06.25.b,Frettenham,,"52.7085962, 1.3247301",
1888.06.25.c,Norwich,St Michael-at-Plea,"52.6286060, 1.2922700",
1888.08.24.d,Old Buckenham,,"52.4802530, 1.0387773",
1889.01.11.b,Norwich,Norwich Museum,"52.6286060, 1.2922700",
1889.01.11.b,Foulsham,,"52.7850989, 1.0134846",
1889.01.11.b,Binham,,"52.9188855, 0.9499989",
1889.05.06.b,Dereham,,"52.6802052, 0.9386329",
1889.05.06.b,Ingham,,"52.7798853, 1.5416054",
1889.05.06.b,Anmer,,"52.8349911, 0.5823459",
1889.05.06.b,Kenninghall,,"52.4335083, 0.9961241",
1889.05.28.b,Shotesham,St Mary,"52.5423235, 1.3181010",
1889.05.28.b,Gillingham,,"52.4707710, 1.5465927",
1889.05.28.b,Postwick,,"52.6194640, 1.3907832",
1889.05.28.b,Norwich,St Clement's,"52.6286060, 1.2922700",
1889.05.28.b,Norwich,St Michael-at-Plea,"52.6286060, 1.2922700",
1889.06.17.a,Feltwell,St Mary,"52.4858324, 0.5233676",
1889.06.17.b,Shotesham,St Mary," 52.5423235, 1.3181010",
1889.06.17.b,Toft Monks,,"52.4959286, 1.5776722",
1889.06.17.b,Gillingham,St Mary," 52.4707710, 1.5465927",
1889.06.17.b,Postwick,,"52.6194640, 1.3907832",
1889.06.17.b,Norwich,St Martin at Palace," 52.6286060, 1.2922700",
1889.06.17.c,Horstead,,"52.7265691, 1.3510019",
1889.06.17.c,North Elmham,,"52.7498571, 0.9405559",
1889.07.22.b,Blickling,,"52.8099215, 1.2259634",
1889.08.19.c,Easton,,"52.6533294, 1.1573613",
1889.10.11.c,Heacham,,"52.9074381, 0.5031666",
1889.11.18.b,Morston,,"52.9538947, 0.9851246",
1889.12.23.c,Mattishall,,"52.6596767, 1.0282759",
1889.12.23.c,East Tuddenham,," 52.6591873, 1.0740694",
1889.12.23.c,Honingham,," 52.6623289, 1.1081171",
1890.01.03.b,Oulton,,"52.8105745, 1.1679681",
1890.02.27.a,Winterton,,"52.7154002, 1.6909471",
1890.02.27.b,Heigham,," 52.7196336, 1.5747217",
1890.03.13.a,Winterton,,"52.7154002, 1.6909471",
1890.03.13.a,Worstead,," 52.7826982, 1.4133514",
1890.03.13.b,Ingworth,,"52.8192873, 1.2525774",
1890.06.02.b,Wiveton,,"52.9461714, 1.0385579",
1890.06.02.b,Winterton,,"52.7154002, 1.6909471",
1890.08.01.b,South Acre,," 52.6957525, 0.6772269",
1890.08.01.b,Felbrigg,," 52.9105312, 1.2733296",
1890.08.07.a,Blickling,,"52.8099215, 1.2259634",
1890.08.07.a,Great Fransham,,"52.6856142, 0.8029389",
1890.08.07.a,Burnham Thorpe,,"52.9380354, 0.7570808",
1890.08.14.a,Norwich,St Stephen,"52.6286060, 1.2922700",
1890.08.14.b,Norwich,St Stephen,"52.6286060, 1.2922700",
1890.08.14.b,Necton,,"52.6513980, 0.7769950",
1890.08.14.d,Necton,,"52.6513980, 0.7769950",
1890.08.17.a,Necton,,"52.6513980, 0.7769950",
1890.08.17.b,Dunston,,"52.5709425, 1.2828132",
1890.08.17.b,Stoke Holy Cross,,"52.5682311, 1.2964471",
1890.08.17.b,Wood Dalling,," 52.7996083, 1.0988598",
1890.08.17.b,Guestwick,,"52.7993389, 1.0508211",
1890.08.17.b,Themelthorpe,,"52.7735991, 1.0487611",
1890.08.17.b,Felmingham,," 52.8140620, 1.3362096",
1890.08.17.c,Felmingham,," 52.8140620, 1.3362096",
1890.08.17.c,Newton Flotman,,"52.5371525, 1.2608483",
1890.08.17.c,Scottow,,"52.7622815, 1.3765112",
1890.08.17.c,North Acre,,"52.5486045, 0.8834962",
1890.08.17.c,Ingham,,"52.7798853, 1.5416054",
1890.08.30.b,Ingham,,"52.7798853, 1.5416054",
1890.08.30.b,Barnham Broom,," 52.6246519, 1.0750484",
1890.08.30.b,Bawburgh,,"52.6322861, 1.1841299",
1890.08.30.b,Brampton,,"52.7679641, 1.2935735",
1890.08.30.b,Brisley,,"52.7559129, 0.8873673",
